gene_a,gene_b,phi,n11,p_adj
aph(3')-VIa,dfrA45,0.2405,30,3.6962237518786137e-19
blaCARB-16,blaNDM-1,0.2399,27,4.837743824074856e-16
armA,cmlA5,0.2397,81,3.135589705565796e-31
blaADC-176,catA1,0.2394,13,7.612654531623118e-11
aadA5,blaOXA-65,0.2378,16,3.435226933713591e-12
blaADC-30,mph(E),0.2371,334,2.4931905931341918e-29
blaCARB-16,ble,0.2369,27,8.11021072725606e-16
blaADC-73,gyrA_S81L,0.2362,337,6.978839566425165e-46
aadA5,blaOXA-58,0.235,14,3.876064427791072e-11
floR,sul2,0.2345,96,3.747955880344419e-32
aadA2,parC_E88K,0.2338,20,5.273658542684888e-13
aadA2,sul1,0.2307,86,2.6399829943923827e-29
blaADC-33,blaOXA,0.2305,23,8.116087627163478e-14
aph(6)-Id,catB8,0.2302,302,1.1211180927418554e-29
blaADC-30,msr(E),0.23,332,1.1258813453419668e-27
blaADC-26,dfrA45,0.2284,18,1.5680827411675624e-12
arr-2,blaADC-76,0.2281,18,4.63071955765017e-12
aph(3')-VIa,gyrA_S81L,0.2274,344,5.276899490045282e-39
aph(3'')-Ib,catB8,0.2273,302,5.451243598128579e-29
sul2,tet(B),0.2268,556,2.1960096373157585e-27
aac(3)-Ia,blaOXA-69,0.2257,61,2.4349377092241315e-19
aadA1,blaOXA-23,0.2256,431,1.1838370517886971e-27
aadA1,sat2,0.2252,41,3.622021139794055e-24
blaADC-176,blaOXA-69,0.2226,17,8.503949232782544e-12
blaNDM-1,blaOXA-91,0.2204,26,4.008663742314532e-14
arr-2,sul2,0.2203,84,1.327146500171758e-28
ant(2'')-Ia,blaADC-222,0.2192,25,1.0383979772617054e-13
blaOXA-91,ble,0.2175,26,6.547619099565702e-14
cmlA5,sul2,0.2173,82,8.107936868375038e-28
aac(6')-Ib',aph(6)-Id,0.2173,297,2.263197257417766e-26
catA1,sul1,0.2169,70,7.296728623592028e-27
aac(6')-Ib',aph(3'')-Ib,0.2167,298,2.787133561451861e-26
aph(3')-VIa,ble,0.2155,81,3.63705651130281e-19
blaADC-154,tet(39),0.2145,11,4.054351010310956e-09
blaADC-222,blaCARB-2,0.2145,9,4.723283691869042e-08
aac(6')-Ib3,aph(3')-VIa,0.2125,28,2.4561499484414233e-15
blaPER-7,sul1,0.2118,67,1.399486974857738e-25
aph(3')-VIa,blaNDM-1,0.2114,79,1.767078937605696e-18
blaCARB-2,blaOXA-95,0.2101,9,6.572597640566504e-08
blaNDM-1,blaOXA-104,0.2067,30,1.6290666985062174e-13
aac(6')-Ian,adeS_N125K,0.2067,19,3.134991708748473e-11
aadA5,blaADC-152,0.2052,7,9.798101821593091e-07
blaOXA-104,ble,0.2038,30,2.804920757505181e-13
arr-2,mph(E),0.2036,80,2.159003684093981e-23
arr-2,msr(E),0.2024,80,3.4629718785174287e-23
blaADC-76,cmlA5,0.2023,16,5.055267740954116e-10
aadA1,dfrA1,0.2022,43,2.6688415716774385e-18
blaOXA-72,tet(X5),0.2022,10,3.532664746024999e-08
aacA16,parC_E88K,0.2011,12,1.0017311940669508e-08
armA,blaPER-7,0.2008,63,2.01873561693153e-21
aph(3')-Ia,blaOXA-23,0.2007,506,7.568347216064222e-22
cmlA5,mph(E),0.2005,78,1.1863471922164097e-22
aac(3)-IIe,sul2,0.2004,88,3.260979249891188e-22
aadA2,blaOXA-82,0.1998,17,3.722238116117837e-10
blaNDM-1,blaPER-7,0.1996,28,1.2475058201821465e-12
cmlA5,msr(E),0.1993,78,1.87814298071493e-22
aadA5,ant(2'')-Ia,0.1992,18,6.692249100539832e-11
aac(3)-Ia,blaOXA-66,0.1992,219,4.207219281475118e-21
blaOXA-23,sul1,0.1984,575,2.643895139915884e-21
aac(3)-Ia,gyrA_S81L,0.197,312,2.4338353886454903e-27
blaPER-7,ble,0.1968,28,2.0649248944440864e-12
blaOXA-68,cmlA5,0.1964,15,1.93976216169896e-09
aadA1,aph(6)-Id,0.1956,423,5.797451205698381e-21
blaOXA,blaOXA-82,0.1954,21,6.692249100539832e-11
aadT,blaOXA-65,0.1954,18,3.4894015019137514e-10
arr-2,blaOXA-68,0.1935,15,2.7295298787868346e-09
aadA1,aph(3'')-Ib,0.1917,423,3.549028429752386e-20
aadT,blaOXA-68,0.1913,12,2.812570703215338e-08
adeS_H189Y,sul2,0.191,75,1.668730455045476e-20
arr-2,dfrA1,0.19,14,7.543810570461106e-09
aph(3')-VIa,blaOXA-65,0.1899,50,2.9811152299629335e-14
aph(3')-VIa,cmlA5,0.189,42,1.0736794139328578e-13
parC_S84L,sul2,0.188,747,1.6796750313066725e-19
aadA5,aph(3')-VI,0.1866,12,3.458095630726839e-08
aadT,aph(3')-VI,0.1858,16,3.95965783740404e-09
aacA16,aadA5,0.1857,8,1.2709334373205025e-06
aph(3')-VIa,arr-2,0.185,42,2.9717262740922133e-13
aph(3')-VI,blaOXA-58,0.1848,20,6.953082495231983e-10
blaPER-7,mph(E),0.1835,64,3.4603740258423917e-19
blaOXA-82,sul1,0.183,57,2.242175635693655e-18
sul1,tet(A),0.1824,47,8.005603987983806e-20
ant(2'')-Ia,parC_E88K,0.1824,24,1.3205273404352179e-10
aph(3')-VIa,sul1,0.1822,206,2.4689319302670493e-17
mph(E),sul2,0.1814,500,9.07577835449056e-18
blaOXA-58,floR,0.1809,20,1.247495509315941e-09
arr-2,sat2,0.1807,12,7.290626354473879e-08
blaADC-26,sul2,0.1793,109,3.387245074017507e-17
aadA5,blaADC,0.1784,24,1.781556746512648e-11
aac(6')-Ian,adeS_G336S,0.1777,21,1.2093902526785529e-09
blaPER-7,msr(E),0.1773,63,8.217946134749356e-18
aac(6')-Ib4,ant(2'')-Ia,0.1763,14,1.2941289106927429e-08
aph(3')-VIa,blaADC-33,0.1758,31,1.4204216983189984e-11
aac(6')-Ib4,floR,0.1753,10,4.0678381422901575e-07
sul1,tet(B),0.1751,491,1.2833628775802524e-16
aph(3')-VIa,sul2,0.174,215,4.068774585513695e-16
blaCARB-16,floR,0.1737,14,4.814790602091122e-08
msr(E),sul2,0.1735,498,2.5484352216925377e-16
aadA1,tet(A),0.1723,37,2.368545951225521e-13
blaPER-7,sul2,0.1719,62,1.2642210370034425e-16
blaNDM-1,sul2,0.1711,138,1.33508124829849e-15
blaADC-26,blaNDM-1,0.17,39,5.190252839501775e-11
aph(6)-Id,sul1,0.1685,569,1.3486676314001351e-15
aac(6')-Ian,blaCARB-16,0.1684,16,3.071576062536964e-08
aadA2,blaADC-33,0.1681,14,9.976560220401468e-08
adeC,blaADC-25,0.168,80,1.088254762518523e-20
blaTEM-1,sul1,0.1678,334,4.334547993927546e-15
blaOXA-58,blaOXA-65,0.1678,20,8.619744600039751e-09
ble,sul2,0.1676,139,5.347218752952484e-15
blaNDM-1,mph(E),0.1672,136,6.667571190762008e-15
armA,dfrA45,0.1665,36,5.782867938153303e-16
aac(3)-IId,mph(E),0.1655,63,3.839531582794173e-15
aph(3'')-Ib,sul1,0.165,570,5.316125217821934e-15
aac(3)-IId,msr(E),0.1644,63,5.433508381031731e-15
aph(3')-VIa,blaOXA-58,0.1642,39,7.430670494303448e-11
blaADC-152,floR,0.164,10,1.2621035677145395e-06
aac(3)-Ia,blaTEM-1,0.1634,149,1.7650757407543996e-13
aac(6')-Ib3,ant(2'')-Ia,0.1633,16,3.886208707765959e-08
aph(3')-VIa,blaOXA-82,0.1633,31,2.5088872756695284e-10
aac(6')-Ian,blaOXA-65,0.163,25,4.0849441486409284e-09
blaADC-33,sul1,0.1616,50,3.96500611333968e-14
aac(3)-Ia,blaOXA-72,0.1612,36,2.6054224393170915e-10
cmlA5,dfrA1,0.1612,12,6.272540801527675e-07
aph(3')-Ia,ftsI_A515V,0.1609,184,1.8350552827564952e-13
blaADC-26,ble,0.1607,38,4.413621242077147e-10
blaNDM-1,msr(E),0.1593,134,1.2960668105387042e-13
dfrA45,sul1,0.1593,36,4.372264995854148e-15
sat2,sul2,0.159,41,9.454734552855514e-16
ant(2'')-Ia,aph(3')-VIa,0.159,63,3.5249873756816195e-11
aac(3)-IId,blaCARB-2,0.1579,8,9.894055178215127e-06
aph(3')-VIa,blaOXA-239,0.1578,20,4.828280860465542e-09
aac(3)-Ia,tet(B),0.1577,205,1.5545314191395977e-13
aadA5,sul1,0.157,35,1.1710909893524728e-14
blaOXA-68,blaPER-7,0.1567,11,1.8050035846652543e-06
aac(3)-IId,blaNDM-1,0.1562,24,1.2054753481199626e-08
aph(3')-VIa,sat2,0.155,23,4.95520523220155e-09
aph(3')-VIa,blaPER-7,0.1548,32,1.429645129700278e-09
aac(3)-Ia,sat2,0.1546,22,8.526249833465815e-09
